name,genre,score,star
Cool World,Animation,4.9,Gabriel Byrne
Glengarry Glen Ross,Crime,7.7,Al Pacino
Wayne's World,Comedy,7.0,Mike Myers
Army of Darkness,Comedy,7.5,Bruce Campbell
A River Runs Through It,Drama,7.2,Craig Sheffer
Twin Peaks: Fire Walk with Me,Drama,7.3,Sheryl Lee
Of Mice and Men,Drama,7.5,John Malkovich
Beethoven,Comedy,5.7,Charles Grodin
Universal Soldier,Action,6.0,Jean-Claude Van Damme
Buffy the Vampire Slayer,Action,5.7,Kristy Swanson
Sleepwalkers,Fantasy,5.3,Brian Krause
Chaplin,Biography,7.5,Robert Downey Jr.
The Lover,Biography,6.9,Jane March
Home Alone 2: Lost in New York,Adventure,6.8,Macaulay Culkin
The Hand That Rocks the Cradle,Drama,6.6,Annabella Sciorra
Newsies,Drama,6.9,Christian Bale
Malcolm X,Biography,7.7,Denzel Washington
Patriot Games,Action,6.9,Harrison Ford
Dead Alive,Comedy,7.5,Timothy Balme
Poison Ivy,Drama,5.4,Drew Barrymore
Sneakers,Comedy,7.1,Robert Redford
The Lawnmower Man,Horror,5.4,Jeff Fahey
The Player,Comedy,7.5,Tim Robbins
Encino Man,Comedy,5.8,Sean Astin
White Men Can't Jump,Comedy,6.8,Wesley Snipes
Lethal Weapon 3,Action,6.7,Mel Gibson
American Me,Biography,7.2,Edward James Olmos
El Mariachi,Action,6.9,Carlos Gallardo
Bitter Moon,Drama,7.2,Hugh Grant
Pet Sematary II,Fantasy,4.9,Edward Furlong
Bad Lieutenant,Crime,7.1,Harvey Keitel
Singles,Comedy,6.7,Bridget Fonda
FernGully: The Last Rainforest,Animation,6.5,Samantha Mathis
HouseSitter,Comedy,6.1,Steve Martin
School Ties,Drama,6.9,Brendan Fraser
Hoffa,Biography,6.6,Jack Nicholson
Juice,Action,7.1,Omar Epps
Damage,Drama,6.8,Jeremy Irons
Forever Young,Drama,6.3,Mel Gibson
Man Bites Dog,Comedy,7.5,Benoît Poelvoorde
3 Ninjas,Action,5.3,Victor Wong
Hellraiser III: Hell on Earth,Horror,5.5,Terry Farrell
Body of Evidence,Drama,4.5,Madonna
"Honey, I Blew Up the Kid",Adventure,4.9,Rick Moranis
Captain Ron,Adventure,5.8,Kurt Russell
The Cutting Edge,Comedy,6.9,D.B. Sweeney
Passenger 57,Action,5.9,Wesley Snipes
"Jamón, Jamón",Comedy,6.4,Penélope Cruz
Children of the Corn II: the Final Sacrifice,Horror,4.3,Terence Knox
Ladybugs,Comedy,5.5,Rodney Dangerfield
Radio Flyer,Drama,7.0,Lorraine Bracco
Strictly Ballroom,Comedy,7.2,Paul Mercurio
Raising Cain,Crime,6.1,John Lithgow
Orlando,Biography,7.2,Tilda Swinton
Gladiator,Action,6.5,James Marshall
Split Second,Action,6.2,Rutger Hauer
Tom and Jerry: The Movie,Animation,5.4,Richard Kind
Toys,Adventure,5.1,Robin Williams
Romper Stomper,Crime,6.8,Russell Crowe
1492: Conquest of Paradise,Adventure,6.5,Gérard Depardieu
Pure Country,Drama,7.0,George Strait
Boomerang,Comedy,5.5,Eddie Murphy
The Power of One,Drama,7.2,Stephen Dorff
Dr. Giggles,Comedy,5.2,Larry Drake
Sidekicks,Action,5.1,Chuck Norris
Medicine Man,Adventure,6.0,Sean Connery
Honeymoon in Vegas,Comedy,5.8,James Caan
Thunderheart,Crime,6.8,Val Kilmer
Stop! Or My Mom Will Shoot,Action,4.3,Sylvester Stallone
Innocent Blood,Action,6.2,Anne Parillaud
Unlawful Entry,Crime,6.3,Kurt Russell
Lorenzo's Oil,Biography,7.3,Nick Nolte
Final Analysis,Drama,5.9,Richard Gere
One False Move,Crime,7.1,Bill Paxton
Stay Tuned,Adventure,6.2,John Ritter
Consenting Adults,Crime,5.7,Kevin Kline
Fortress,Action,5.9,Christopher Lambert
Once Upon a Crime...,Comedy,5.9,John Candy
Mom and Dad Save the World,Adventure,5.4,Teri Garr
Supercop,Action,6.9,Jackie Chan
Jennifer 8,Crime,6.3,Andy Garcia
Bébé's Kids,Animation,5.8,Faizon Love
Memoirs of an Invisible Man,Comedy,6.0,Chevy Chase
Peter's Friends,Comedy,7.0,Hugh Laurie
Freejack,Action,5.4,Emilio Estevez
Como agua para chocolate,Drama,7.1,Marco Leonardi
Leap of Faith,Comedy,6.1,Steve Martin
Noises Off...,Comedy,7.5,Michael Caine
Class Act,Comedy,6.1,Christopher Reid
Diggstown,Drama,7.0,James Woods
Indochine,Drama,7.1,Catherine Deneuve
Nemesis,Action,5.4,Olivier Gruner
Kuffs,Action,5.9,Christian Slater
Shining Through,Drama,6.4,Michael Douglas
Mo' Money,Action,5.5,Damon Wayans
Husbands and Wives,Comedy,7.5,Woody Allen
Trespass,Action,6.3,Bill Paxton
Love Potion No. 9,Comedy,5.7,Tate Donovan
Rapid Fire,Action,6.3,Brandon Lee
Wind,Action,6.4,Matthew Modine
Hero,Comedy,6.5,Dustin Hoffman
South Central,Crime,6.8,Glenn Plummer
The Muppet Christmas Carol,Comedy,7.7,Michael Caine
Un Coeur en Hiver,Drama,7.6,Daniel Auteuil
Tokyo Decadence,Drama,6.0,Miho Nikaido
Mr. Baseball,Comedy,6.0,Tom Selleck
Love Crimes,Romance,4.2,Sean Young
Naked Killer,Action,6.0,Chingmy Yau
CrissCross,Crime,5.8,Goldie Hawn
Waterland,Drama,6.6,Jeremy Irons
The Distinguished Gentleman,Comedy,5.9,Eddie Murphy
White Sands,Action,6.0,Willem Dafoe
Belle Epoque,Comedy,7.1,Fernando Fernán Gómez
Swoon,Crime,6.7,Daniel Schlachet
Knight Moves,Crime,6.1,Christopher Lambert
Light Sleeper,Crime,6.8,Willem Dafoe
A Midnight Clear,Drama,7.2,Peter Berg
Bob Roberts,Comedy,7.0,Tim Robbins
Sarafina!,Drama,6.3,Whoopi Goldberg
For a Lost Soldier,Drama,7.5,Maarten Smit
In the Soup,Comedy,7.1,Steve Buscemi
A Stranger Among Us,Crime,5.6,Melanie Griffith
Where the Day Takes You,Crime,6.6,Dermot Mulroney
Passion Fish,Drama,7.4,Mary McDonnell
That Night,Drama,6.6,C. Thomas Howell
Gas Food Lodging,Drama,6.6,Brooke Adams
American Heart,Crime,6.7,Jeff Bridges
The Babe,Biography,5.9,John Goodman
La sentinelle,Drama,6.6,Emmanuel Salinger
Christopher Columbus: The Discovery,Adventure,4.5,Marlon Brando
Claire of the Moon,Drama,5.1,Trisha Todd
Prelude to a Kiss,Comedy,5.6,Meg Ryan
The Best Intentions,Biography,7.8,Samuel Fröler
The Public Eye,Crime,6.5,Joe Pesci
Article 99,Comedy,6.1,Ray Liotta
The Mambo Kings,Drama,6.4,Armand Assante
Into the West,Adventure,7.0,Gabriel Byrne
The Playboys,Drama,6.3,Albert Finney
City of Joy,Drama,6.5,Patrick Swayze
Straight Talk,Comedy,5.8,Dolly Parton
Qing shao nian nuo zha,Crime,7.6,Chao-jung Chen
Love Field,Drama,6.6,Michelle Pfeiffer
Mr. Saturday Night,Comedy,5.9,Billy Crystal
Twin Dragons,Action,6.5,Jackie Chan
Aces: Iron Eagle III,Action,3.7,Louis Gossett Jr.
The Living End,Comedy,6.5,Mike Dytri
Simple Men,Crime,7.2,Robert John Burke
Guncrazy,Crime,5.5,Drew Barrymore
Folks!,Comedy,5.7,Tom Selleck
Léolo,Comedy,7.5,Maxime Collin
Night and the City,Comedy,5.8,Robert De Niro
Whispers in the Dark,Drama,5.6,Annabella Sciorra
Zebrahead,Drama,6.3,Michael Rapaport
Hyenas,Comedy,7.4,Mansour Diouf
A Tale of Winter,Drama,7.3,Charlotte Véry
Man Trouble,Comedy,4.7,Jack Nicholson
Laws of Gravity,Crime,6.8,Peter Greene
Brain Donors,Comedy,7.1,John Turturro
Out on a Limb,Comedy,5.3,Matthew Broderick
Tetsuo II: Body Hammer,Action,6.4,Tomorô Taguchi
Traces of Red,Crime,5.2,Jim Belushi
Storyville,Drama,5.8,James Spader
Rescue Me,Action,5.2,Michael Dudikoff
Map of the Human Heart,Adventure,7.1,Jason Scott Lee
Ruby Cairo,Mystery,5.0,Andie MacDowell
The Waterdance,Drama,6.8,Eric Stoltz
Year of the Comet,Action,5.8,Penelope Ann Miller
This Is My Life,Drama,6.1,Julie Kavner
Mistress,Comedy,5.4,Robert Wuhl
Passed Away,Comedy,5.8,Bob Hoskins
Blame It on the Bellboy,Comedy,5.5,Bronson Pinchot
Leaving Normal,Comedy,6.6,Christine Lahti
House of Angels,Comedy,6.4,Helena Bergström
The Long Day Closes,Biography,7.4,Leigh McCormack
Once Upon a Time in China III,Action,6.8,Jet Li
Shadow of the Wolf,Adventure,5.7,Lou Diamond Phillips
The Gun in Betty Lou's Handbag,Comedy,5.1,Penelope Ann Miller
Tombstone,Action,7.8,Kurt Russell
The Sandlot,Comedy,7.8,Tom Guiry
Jurassic Park,Action,8.1,Sam Neill
Dazed and Confused,Comedy,7.6,Jason London
Schindler's List,Biography,8.9,Liam Neeson
True Romance,Crime,7.9,Christian Slater
Naked,Comedy,7.8,David Thewlis
Robin Hood: Men in Tights,Adventure,6.7,Cary Elwes
A Bronx Tale,Crime,7.8,Robert De Niro
What's Eating Gilbert Grape,Drama,7.7,Johnny Depp
Hocus Pocus,Comedy,6.9,Bette Midler
Carlito's Way,Crime,7.9,Al Pacino
Mrs. Doubtfire,Comedy,7.0,Robin Williams
The Fugitive,Action,7.8,Harrison Ford
Demolition Man,Action,6.7,Sylvester Stallone
Dennis the Menace,Comedy,5.6,Walter Matthau
Falling Down,Action,7.6,Michael Douglas
The Pelican Brief,Crime,6.6,Julia Roberts
The Firm,Drama,6.8,Tom Cruise
Last Action Hero,Action,6.4,Arnold Schwarzenegger
Sister Act 2: Back in the Habit,Comedy,5.6,Whoopi Goldberg
Groundhog Day,Comedy,8.0,Bill Murray
Philadelphia,Drama,7.7,Tom Hanks
Super Mario Bros.,Adventure,4.1,Bob Hoskins
Sleepless in Seattle,Comedy,6.8,Tom Hanks
Cliffhanger,Action,6.4,Sylvester Stallone
The Piano,Drama,7.6,Holly Hunter
The Nightmare Before Christmas,Animation,8.0,Danny Elfman
Rookie of the Year,Comedy,6.1,Thomas Ian Nicholas
"Blood In, Blood Out",Crime,8.0,Damian Chapa
In the Name of the Father,Biography,8.1,Daniel Day-Lewis
Alive,Biography,7.1,Ethan Hawke
Addams Family Values,Comedy,6.8,Anjelica Huston
Indecent Proposal,Drama,6.0,Robert Redford
In the Line of Fire,Action,7.2,Clint Eastwood
The Age of Innocence,Drama,7.2,Daniel Day-Lewis
Menace II Society,Crime,7.5,Tyrin Turner
Gettysburg,Drama,7.6,Tom Berenger
The Three Musketeers,Action,6.4,Charlie Sheen
Homeward Bound: The Incredible Journey,Adventure,6.9,Michael J. Fox
The Secret Garden,Drama,7.3,Kate Maberly
Free Willy,Adventure,6.0,Jason James Richter
RoboCop 3,Action,4.1,Robert John Burke
The Remains of the Day,Drama,7.8,Anthony Hopkins
Hard Target,Action,6.2,Jean-Claude Van Damme
Fire in the Sky,Biography,6.5,D.B. Sweeney
Cool Runnings,Adventure,7.0,John Candy
Dave,Comedy,6.8,Kevin Kline
Kalifornia,Crime,6.7,Brad Pitt
Benny & Joon,Comedy,7.2,Johnny Depp
Sliver,Drama,5.0,Sharon Stone
Rudy,Biography,7.5,Sean Astin
Coneheads,Comedy,5.3,Dan Aykroyd
So I Married an Axe Murderer,Comedy,6.5,Mike Myers
Hot Shots! Part Deux,Action,6.6,Charlie Sheen
Much Ado About Nothing,Comedy,7.3,Kenneth Branagh
The Crush,Drama,5.8,Cary Elwes
Loaded Weapon 1,Action,6.2,Emilio Estevez
This Boy's Life,Biography,7.3,Robert De Niro
Three Colors: Blue,Drama,7.9,Juliette Binoche
Grumpy Old Men,Comedy,7.0,Jack Lemmon
A Perfect World,Crime,7.5,Kevin Costner
Leprechaun,Comedy,4.8,Warwick Davis
Malice,Crime,6.4,Alec Baldwin
What's Love Got to Do with It,Biography,7.3,Angela Bassett
Short Cuts,Comedy,7.7,Andie MacDowell
Son in Law,Comedy,5.8,Pauly Shore
Striking Distance,Action,5.9,Bruce Willis
Return of the Living Dead III,Horror,5.9,Kent McCord
Searching for Bobby Fischer,Biography,7.4,Joe Mantegna
Jason Goes to Hell: the Final Friday,Fantasy,4.2,John D. LeMay
Matinee,Comedy,6.9,John Goodman
The Good Son,Drama,6.4,Macaulay Culkin
The Beverly Hillbillies,Comedy,5.0,Diedrich Bader
Beethoven's 2nd,Comedy,4.9,Charles Grodin
Killing Zoe,Crime,6.5,Eric Stoltz
Cronos,Fantasy,6.7,Federico Luppi
Geronimo: An American Legend,Drama,6.5,Jason Patric
Wayne's World 2,Comedy,6.2,Mike Myers
Point of No Return,Action,6.1,Bridget Fonda
Boxing Helena,Drama,4.7,Julian Sands
Romeo Is Bleeding,Crime,6.6,Gary Oldman
Rising Sun,Action,6.3,Sean Connery
For Love or Money,Comedy,6.2,Michael J. Fox
Teenage Mutant Ninja Turtles III,Action,4.8,Elias Koteas
Body Snatchers,Horror,6.0,Gabrielle Anwar
Stalingrad,Drama,7.5,Dominique Horwitz
Airborne,Adventure,6.3,Shane McDermott
The Thing Called Love,Comedy,6.4,River Phoenix
The Vanishing,Drama,6.3,Jeff Bridges
The House of the Spirits,Drama,6.9,Jeremy Irons
Undercover Blues,Comedy,6.1,Kathleen Turner
Little Buddha,Drama,6.1,Keanu Reeves
Dragon,Action,7.0,Jason Scott Lee
Poetic Justice,Drama,6.1,Janet Jackson
The Joy Luck Club,Drama,7.7,Tamlyn Tomita
The Cement Garden,Drama,7.1,Charlotte Gainsbourg
Untamed Heart,Drama,6.8,Christian Slater
Batman: Mask of the Phantasm,Animation,7.8,Kevin Conroy
Freaked,Comedy,6.4,Brooke Shields
Swing Kids,Drama,6.8,Robert Sean Leonard
Heart and Souls,Comedy,7.0,Robert Downey Jr.
Needful Things,Crime,6.3,Max von Sydow
Ruby in Paradise,Drama,7.0,Ashley Judd
Six Degrees of Separation,Comedy,6.8,Will Smith
The Man Without a Face,Drama,6.7,Mel Gibson
Farewell My Concubine,Drama,8.1,Leslie Cheung
Sniper,Action,6.1,Tom Berenger
Judgment Night,Action,6.6,Emilio Estevez
Shadowlands,Biography,7.3,Anthony Hopkins
Arizona Dream,Comedy,7.3,Johnny Depp
Nowhere to Run,Action,5.7,Jean-Claude Van Damme
King of the Hill,Drama,7.4,Jesse Bradford
Mad Dog and Glory,Comedy,6.2,Robert De Niro
We're Back! A Dinosaur's Story,Animation,6.1,John Goodman
Red Rock West,Crime,7.0,Nicolas Cage
The Program,Action,6.5,James Caan
Ghost in the Machine,Horror,4.6,Karen Allen
Fearless,Drama,7.1,Jeff Bridges
Manhattan Murder Mystery,Comedy,7.3,Woody Allen
Surf Ninjas,Action,5.1,Ernie Reyes Sr.
Weekend at Bernie's II,Adventure,4.8,Andrew McCarthy
Les visiteurs,Comedy,7.1,Christian Clavier
The Adventures of Huck Finn,Adventure,6.2,Elijah Wood
Made in America,Comedy,5.1,Whoopi Goldberg
Dream Lover,Drama,6.2,James Spader
M. Butterfly,Drama,6.8,Jeremy Irons
The Dark Half,Horror,6.0,Timothy Hutton
Only the Strong,Action,6.6,Mark Dacascos
My Life,Drama,6.8,Michael Keaton
Mi vida loca,Crime,6.5,Angel Aviles
Look Who's Talking Now,Comedy,4.4,John Travolta
The Meteor Man,Action,5.2,Robert Townsend
Fatal Instinct,Comedy,5.8,Armand Assante
CB4,Comedy,6.3,Chris Rock
Calendar Girl,Comedy,5.1,Jason Priestley
Heaven & Earth,Action,6.8,Hiep Thi Le
Indian Summer,Comedy,6.6,Alan Arkin
Once Upon a Forest,Animation,6.5,Michael Crawford
Posse,Western,5.5,Mario Van Peebles
Flesh and Bone,Drama,6.2,Dennis Quaid
Sommersby,Drama,6.2,Richard Gere
Even Cowgirls Get the Blues,Comedy,4.4,Uma Thurman
Life with Mikey,Comedy,5.6,Michael J. Fox
Best of the Best II,Action,5.6,Eric Roberts
The Thief and the Cobbler,Animation,7.1,Vincent Price
My Boyfriend's Back,Comedy,5.4,Andrew Lowery
Warlock: The Armageddon,Action,5.4,Julian Sands
The Scent of Green Papaya,Drama,7.4,Nu Yên-Khê Tran
Kika,Comedy,6.5,Peter Coyote
Wide Sargasso Sea,Drama,5.7,Karina Lombard
Iron Monkey,Action,7.5,Rongguang Yu
Mr. Nanny,Action,3.8,Hulk Hogan
The Real McCoy,Crime,5.5,Kim Basinger
3 Ninjas: Knuckle Up,Action,4.3,Victor Wong
Father Hood,Adventure,4.9,Patrick Swayze
"Faraway, So Close!",Drama,7.3,Otto Sander
Dangerous Game,Drama,5.6,Harvey Keitel
Deadfall,Crime,4.0,Michael Biehn
A Home of Our Own,Biography,7.1,Kathy Bates
A Far Off Place,Adventure,6.6,Reese Witherspoon
Guilty as Sin,Crime,5.6,Rebecca De Mornay
The Wedding Banquet,Comedy,7.6,Winston Chao
Another Stakeout,Comedy,5.6,Richard Dreyfuss
Aspen Extreme,Drama,6.0,Paul Gross
Suture,Drama,6.6,Dennis Haysbert
Blink,Crime,6.2,Madeleine Stowe
Where the Rivers Flow North,Drama,6.7,Rip Torn
Sugar Hill,Crime,5.9,Wesley Snipes
Man's Best Friend,Comedy,5.2,Ally Sheedy
Mr. Jones,Drama,5.8,Richard Gere
Carnosaur,Horror,3.6,Diane Ladd
Mr. Wonderful,Comedy,5.9,Matt Dillon
Cop & ½,Comedy,4.1,Burt Reynolds
Madadayo,Drama,7.3,Tatsuo Matsumura
Caro diario,Biography,7.3,Nanni Moretti
Jack the Bear,Comedy,6.5,Danny DeVito
Money for Nothing,Comedy,5.7,John Cusack
Naked in New York,Comedy,5.6,Eric Stoltz
Son of the Pink Panther,Comedy,3.9,Roberto Benigni
Jung on zo,Action,6.8,Jackie Chan
Totally F***ed Up,Comedy,6.4,James Duval
"Bodies, Rest & Motion",Drama,5.7,Phoebe Cates
House of Cards,Drama,6.2,Kathleen Turner
Bhaji on the Beach,Comedy,6.4,Kim Vithana
Silent Tongue,Drama,5.3,Alan Bates
Amos & Andrew,Comedy,5.7,Nicolas Cage
Splitting Heirs,Comedy,5.5,Eric Idle
Born Yesterday,Comedy,5.2,Melanie Griffith
Mother's Boys,Drama,5.4,Jamie Lee Curtis
The Nutcracker,Family,5.9,Darci Kistler
Philadelphia Experiment II,Action,4.5,Brad Johnson
Blue,Biography,7.3,Derek Jarman
Fear of a Black Hat,Comedy,7.2,Larry B. Scott
Ed and His Dead Mother,Comedy,6.0,Eric Christmas
Boiling Point,Action,5.0,Wesley Snipes
A Dangerous Woman,Drama,5.8,Debra Winger
Josh and S.A.M.,Adventure,5.7,Jacob Tierney
Ethan Frome,Drama,6.2,Liam Neeson
The Night We Never Met,Comedy,6.0,Matthew Broderick
The Shawshank Redemption,Drama,9.3,Tim Robbins
Pulp Fiction,Crime,8.9,John Travolta
Forrest Gump,Drama,8.8,Tom Hanks
Léon: The Professional,Action,8.5,Jean Reno
True Lies,Action,7.2,Arnold Schwarzenegger
The Lion King,Animation,8.5,Matthew Broderick
The Mask,Action,6.9,Jim Carrey
Speed,Action,7.2,Keanu Reeves
Stargate,Action,7.1,Kurt Russell
The Little Rascals,Comedy,6.3,Travis Tedford
Dumb and Dumber,Comedy,7.3,Jim Carrey
Legends of the Fall,Drama,7.5,Brad Pitt
Natural Born Killers,Action,7.3,Woody Harrelson
The Crow,Action,7.6,Brandon Lee
Interview with the Vampire: the Vampire Chronicles,Drama,7.5,Brad Pitt
Four Weddings and a Funeral,Comedy,7.1,Hugh Grant
The Flintstones,Comedy,4.9,John Goodman
Ace Ventura: Pet Detective,Comedy,6.9,Jim Carrey
Little Women,Drama,7.3,Susan Sarandon
Street Fighter,Action,4.0,Jean-Claude Van Damme
Chungking Express,Comedy,8.1,Brigitte Lin
Clear and Present Danger,Action,6.9,Harrison Ford
D2: The Mighty Ducks,Comedy,6.1,Emilio Estevez
Heavenly Creatures,Biography,7.3,Melanie Lynskey
Clerks,Comedy,7.7,Brian O'Halloran
Camp Nowhere,Adventure,6.1,Jonathan Jackson
Maverick,Action,7.0,Mel Gibson
Wyatt Earp,Adventure,6.7,Kevin Costner
The Last Seduction,Crime,7.1,Linda Fiorentino
"The Adventures of Priscilla, Queen of the Desert",Comedy,7.5,Hugo Weaving
Little Giants,Comedy,6.4,Rick Moranis
Ed Wood,Biography,7.8,Johnny Depp
Star Trek: Generations,Action,6.6,Patrick Stewart
Disclosure,Drama,6.1,Michael Douglas
Angels in the Outfield,Comedy,6.2,Danny Glover
In the Mouth of Madness,Drama,7.2,Sam Neill
Richie Rich,Comedy,5.4,Macaulay Culkin
Beverly Hills Cop III,Action,5.6,Eddie Murphy
Reality Bites,Comedy,6.6,Winona Ryder
Naked Gun 33 1/3: the Final Insult,Comedy,6.5,Leslie Nielsen
Sirens,Comedy,5.9,Hugh Grant
Three Colors: Red,Drama,8.1,Irène Jacob
Junior,Comedy,4.6,Arnold Schwarzenegger
New Nightmare,Fantasy,6.5,Heather Langenkamp
Baby's Day Out,Adventure,6.2,Lara Flynn Boyle
The River Wild,Adventure,6.4,Meryl Streep
Airheads,Comedy,6.1,Brendan Fraser
Texas Chainsaw Massacre: The Next Generation,Comedy,3.3,Renée Zellweger
The Next Karate Kid,Action,4.5,Pat Morita
Blown Away,Action,6.2,Jeff Bridges
Color of Night,Mystery,5.2,Bruce Willis
North,Adventure,4.5,Elijah Wood
Muriel's Wedding,Comedy,7.2,Toni Collette
The Client,Crime,6.7,Susan Sarandon
Blank Check,Comedy,5.3,Brian Bonsall
It Could Happen to You,Comedy,6.4,Nicolas Cage
Only You,Comedy,6.5,Marisa Tomei
Once Were Warriors,Crime,7.9,Rena Owen
Wolf,Drama,6.2,Jack Nicholson
Mary Shelley's Frankenstein,Drama,6.4,Robert De Niro
Exit to Eden,Comedy,4.3,Dana Delany
The Jungle Book,Adventure,6.0,Jason Scott Lee
The Hudsucker Proxy,Comedy,7.2,Tim Robbins
Timecop,Action,5.9,Jean-Claude Van Damme
The Santa Clause,Comedy,6.5,Tim Allen
The Specialist,Action,5.6,Sylvester Stallone
The Pagemaster,Animation,6.1,Macaulay Culkin
Shallow Grave,Crime,7.3,Kerry Fox
Serial Mom,Comedy,6.8,Kathleen Turner
Bad Girls,Action,5.2,Madeleine Stowe
The Shadow,Action,6.1,Alec Baldwin
When a Man Loves a Woman,Drama,6.6,Meg Ryan
Blue Sky,Drama,6.4,Jessica Lange
Quiz Show,Biography,7.5,Ralph Fiennes
Surviving the Game,Action,6.2,Rutger Hauer
My Father the Hero,Comedy,5.5,Gérard Depardieu
Nell,Drama,6.5,Jodie Foster
Three Colors: White,Comedy,7.6,Zbigniew Zamachowski
My Girl 2,Comedy,5.3,Dan Aykroyd
Chasers,Action,5.1,Tom Berenger
The Getaway,Action,5.8,Alec Baldwin
Major League II,Comedy,5.6,Charlie Sheen
Torment,Crime,7.1,Emmanuelle Béart
Don Juan DeMarco,Comedy,6.7,Johnny Depp
Exotica,Drama,7.1,Bruce Greenwood
Clifford,Comedy,5.5,Martin Short
Thumbelina,Animation,6.4,Jodi Benson
Double Dragon,Action,3.8,Robert Patrick
Death and the Maiden,Drama,7.3,Sigourney Weaver
PCU,Comedy,6.6,Jeremy Piven
The Postman,Biography,7.7,Massimo Troisi
8 Seconds,Biography,6.6,Luke Perry
The Madness of King George,Biography,7.2,Nigel Hawthorne
Of Love and Shadows,Drama,5.1,Antonio Banderas
Nobody's Fool,Comedy,7.4,Paul Newman
Wagons East,Adventure,4.8,John Candy
The Secret of Roan Inish,Drama,7.5,Jeni Courtney
Above the Rim,Crime,6.6,Duane Martin
Greedy,Comedy,6.3,Michael J. Fox
With Honors,Comedy,6.7,Joe Pesci
Police Academy: Mission to Moscow,Comedy,3.5,G.W. Bailey
Little Big League,Comedy,6.1,Luke Edwards
On Deadly Ground,Action,4.6,Steven Seagal
Ready to Wear,Comedy,5.2,Sophia Loren
Bullets Over Broadway,Comedy,7.4,John Cusack
Queen Margot,Biography,7.4,Isabelle Adjani
Crooklyn,Comedy,7.0,Alfre Woodard
Spanking the Monkey,Comedy,6.3,Jeremy Davies
The Legend of Drunken Master,Action,7.6,Jackie Chan
Intersection,Drama,5.4,Richard Gere
Sister My Sister,Drama,6.6,Julie Walters
Miracle on 34th Street,Family,6.5,Richard Attenborough
The Swan Princess,Animation,6.5,Jack Palance
Threesome,Comedy,6.3,Lara Flynn Boyle
The War,Drama,6.8,Elijah Wood
The Chase,Action,5.8,Charlie Sheen
Milk Money,Comedy,5.6,Melanie Griffith
Renaissance Man,Comedy,6.2,Danny DeVito
S.F.W.,Comedy,5.8,Stephen Dorff
Jason's Lyric,Crime,6.6,Allen Payne
Immortal Beloved,Biography,7.4,Gary Oldman
Eat Drink Man Woman,Comedy,7.8,Sihung Lung
Blue Chips,Drama,6.2,Nick Nolte
The Cowboy Way,Action,5.9,Woody Harrelson
No Escape,Action,6.1,Ray Liotta
The Road to Wellville,Comedy,5.9,Anthony Hopkins
Andre,Adventure,5.7,Tina Majorino
Highlander: The Final Dimension,Action,4.5,Christopher Lambert
Cemetery Man,Comedy,7.1,Rupert Everett
Death Machine,Action,5.6,Brad Dourif
Ashes of Time,Action,7.1,Brigitte Lin
Brainscan,Comedy,6.1,Edward Furlong
Cabin Boy,Adventure,5.3,Chris Elliott
Guarding Tess,Comedy,6.2,Shirley MacLaine
Black Beauty,Adventure,6.6,Sean Bean
Iron Will,Adventure,6.6,Mackenzie Astin
Drop Zone,Action,5.6,Wesley Snipes
Through the Olive Trees,Drama,7.8,Mohamad Ali Keshavarz
To Live,Drama,8.3,You Ge
In the Army Now,Comedy,5.0,Pauly Shore
Trapped in Paradise,Adventure,5.9,Nicolas Cage
Death Wish: The Face of Death,Action,4.9,Charles Bronson
City Slickers II: the Legend of Curly's Gold,Comedy,5.5,Billy Crystal
"Corrina, Corrina",Comedy,6.6,Ray Liotta
The Ref,Comedy,6.9,Denis Leary
I.Q.,Comedy,6.2,Tim Robbins
3 Ninjas Kick Back,Action,4.6,Victor Wong
It's Pat: the Movie,Comedy,2.7,Julia Sweeney
The Favor,Comedy,5.2,Harley Jane Kozak
The Paper,Comedy,6.6,Michael Keaton
Terminal Velocity,Action,5.5,Charlie Sheen
China Moon,Crime,6.3,Ed Harris
Cops and Robbersons,Comedy,5.2,Chevy Chase
Little Odessa,Crime,6.7,Tim Roth
Lassie,Family,5.9,Helen Slater
Monkey Trouble,Adventure,5.3,Thora Birch
Fresh,Crime,7.6,Sean Nelson
The Puppet Masters,Horror,5.9,Donald Sutherland
The Scout,Comedy,5.4,Albert Brooks
Backbeat,Biography,6.7,Stephen Dorff
Leprechaun 2,Comedy,4.6,Warwick Davis
Love Affair,Comedy,6.0,Warren Beatty
Mixed Nuts,Comedy,5.4,Steve Martin
Silent Fall,Drama,5.9,Richard Dreyfuss
House Party 3,Comedy,4.7,Christopher Reid
The Air Up There,Comedy,5.5,Kevin Bacon
Sleep with Me,Comedy,5.7,Craig Sheffer
Princess Caraboo,Comedy,6.0,Phoebe Cates
A Low Down Dirty Shame,Action,6.0,Keenen Ivory Wayans
Lightning Jack,Comedy,5.5,Paul Hogan
A Pure Formality,Crime,7.7,Gérard Depardieu
Swimming with Sharks,Comedy,7.1,Kevin Spacey
I Love Trouble,Action,5.3,Nick Nolte
A Troll in Central Park,Animation,5.4,Dom DeLuise
Mosquito,Horror,4.7,Gunnar Hansen
Blankman,Action,5.0,Damon Wayans
Trading Mom,Comedy,5.6,Sissy Spacek
A Simple Twist of Fate,Comedy,6.3,Steve Martin
Farinelli,Biography,6.8,Stefano Dionisi
Priest,Drama,7.1,Linus Roache
Mrs. Parker and the Vicious Circle,Biography,6.4,Jennifer Jason Leigh
